source,target,type,raw
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.COBERTURA_SOL_ESTATUS_ID.WHEN-LIST-CHANGED,EXT:PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_EDITAR_COB.WHEN-BUTTON-PRESSED,EXT:PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_EDITAR_MON.WHEN-BUTTON-PRESSED,EXT:FOREBRA,EXTERNAL_CALL,FOREBRA
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_EDITAR_MON.WHEN-BUTTON-PRESSED,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_COBR_INDE.WHEN-BUTTON-PRESSED,EXT:FOREBRA,EXTERNAL_CALL,FOREBRA
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_COBR_INDE.WHEN-BUTTON-PRESSED,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_EXCEPCION_NEGOCIO.WHEN-BUTTON-PRESSED,EXT:FOREBRA,EXTERNAL_CALL,FOREBRA
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_EXCEPCION_NEGOCIO.WHEN-BUTTON-PRESSED,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_TARIFA_INCORECTA.WHEN-BUTTON-PRESSED,EXT:DBAPER.F_CONVIERTE_CHAR_BOOLEAN,EXTERNAL_CALL,DBAPER.F_CONVIERTE_CHAR_BOOLEAN
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_TARIFA_INCORECTA.WHEN-BUTTON-PRESSED,EXT:FOREBRA,EXTERNAL_CALL,FOREBRA
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_TARIFA_INCORECTA.WHEN-BUTTON-PRESSED,EXT:F_VERIFICA_USUARIO,EXTERNAL_CALL,F_VERIFICA_USUARIO
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_TARIFA_INCORECTA.WHEN-BUTTON-PRESSED,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_TARIFA_INCORECTA.WHEN-BUTTON-PRESSED,EXT:PKG_PARAMETRO_GENERAL_PROCESO.P_CONFIG_MENSAJE_ALERT_FORMA,EXTERNAL_CALL,PKG_PARAMETRO_GENERAL_PROCESO.P_CONFIG_MENSAJE_ALERT_FORMA
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_TARIFA_INCORECTA.WHEN-BUTTON-PRESSED,EXT:varchar2,EXTERNAL_CALL,varchar2
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_NEGOCIACION_PRESTADOR.WHEN-BUTTON-PRESSED,EXT:FOREBRA,EXTERNAL_CALL,FOREBRA
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_NEGOCIACION_PRESTADOR.WHEN-BUTTON-PRESSED,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_DETALLE.WHEN-BUTTON-PRESSED,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_BORRAR.WHEN-BUTTON-PRESSED,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.FECHA_INDICACION.WHEN-VALIDATE-ITEM,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
