node_id,scope,owner,trigger,sql_select,sql_insert,sql_update,sql_delete,sql_merge,execute_immediate,cursor,call_count
TRG_ITEM:SOLICITUD_SERVICIO.BTN_ELIMINAR_MED_TRATANTE.WHEN-BUTTON-PRESSED,ITEM,SOLICITUD_SERVICIO.BTN_ELIMINAR_MED_TRATANTE,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,0
TRG_ITEM:SOLICITUD_SERVICIO.BTN_FEC_SERVICIO.WHEN-BUTTON-PRESSED,ITEM,SOLICITUD_SERVICIO.BTN_FEC_SERVICIO,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,2
TRG_ITEM:SOLICITUD_SERVICIO.BTN_LOV_PLAN.KEY-NEXT-ITEM,ITEM,SOLICITUD_SERVICIO.BTN_LOV_PLAN,KEY-NEXT-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:SOLICITUD_SERVICIO.BTN_LOV_PLAN.WHEN-BUTTON-PRESSED,ITEM,SOLICITUD_SERVICIO.BTN_LOV_PLAN,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,0
TRG_ITEM:SOLICITUD_SERVICIO.BTN_SUB_GRUP_SER.KEY-NEXT-ITEM,ITEM,SOLICITUD_SERVICIO.BTN_SUB_GRUP_SER,KEY-NEXT-ITEM,0,0,0,0,0,0,0,3
TRG_ITEM:SOLICITUD_SERVICIO.BTN_SUB_GRUP_SER.WHEN-BUTTON-PRESSED,ITEM,SOLICITUD_SERVICIO.BTN_SUB_GRUP_SER,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,2
TRG_ITEM:SOLICITUD_SERVICIO.CODIGO_AFILIADO.KEY-LISTVAL,ITEM,SOLICITUD_SERVICIO.CODIGO_AFILIADO,KEY-LISTVAL,0,0,0,0,0,0,0,1
TRG_ITEM:SOLICITUD_SERVICIO.CODIGO_AFILIADO.KEY-NEXT-ITEM,ITEM,SOLICITUD_SERVICIO.CODIGO_AFILIADO,KEY-NEXT-ITEM,0,0,0,0,0,0,0,0
TRG_ITEM:SOLICITUD_SERVICIO.CODIGO_AFILIADO.WHEN-VALIDATE-ITEM,ITEM,SOLICITUD_SERVICIO.CODIGO_AFILIADO,WHEN-VALIDATE-ITEM,8,0,0,0,0,0,1,8
TRG_ITEM:SOLICITUD_SERVICIO.CODIGO_PLAN.KEY-LISTVAL,ITEM,SOLICITUD_SERVICIO.CODIGO_PLAN,KEY-LISTVAL,0,0,0,0,0,0,0,1
TRG_ITEM:SOLICITUD_SERVICIO.CODIGO_PLAN.WHEN-VALIDATE-ITEM,ITEM,SOLICITUD_SERVICIO.CODIGO_PLAN,WHEN-VALIDATE-ITEM,3,1,0,0,0,0,2,3
TRG_ITEM:SOLICITUD_SERVICIO.CORREO_NOTIFICA.WHEN-VALIDATE-ITEM,ITEM,SOLICITUD_SERVICIO.CORREO_NOTIFICA,WHEN-VALIDATE-ITEM,0,0,0,0,0,0,0,1
TRG_ITEM:SOLICITUD_SERVICIO.ESPECIALIDAD.KEY-NEXT-ITEM,ITEM,SOLICITUD_SERVICIO.ESPECIALIDAD,KEY-NEXT-ITEM,0,0,0,0,0,0,0,3
TRG_ITEM:SOLICITUD_SERVICIO.FECHA_SERVICIO.KEY-LISTVAL,ITEM,SOLICITUD_SERVICIO.FECHA_SERVICIO,KEY-LISTVAL,0,0,0,0,0,0,0,0
TRG_ITEM:SOLICITUD_SERVICIO.FECHA_SERVICIO.WHEN-VALIDATE-ITEM,ITEM,SOLICITUD_SERVICIO.FECHA_SERVICIO,WHEN-VALIDATE-ITEM,1,0,0,0,0,0,1,2
TRG_ITEM:SOLICITUD_SERVICIO.LOV_ESPECIALIDAD.KEY-NEXT-ITEM,ITEM,SOLICITUD_SERVICIO.LOV_ESPECIALIDAD,KEY-NEXT-ITEM,0,0,0,0,0,0,0,3
TRG_ITEM:SOLICITUD_SERVICIO.LOV_ESPECIALIDAD.WHEN-BUTTON-PRESSED,ITEM,SOLICITUD_SERVICIO.LOV_ESPECIALIDAD,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,3
TRG_ITEM:SOLICITUD_SERVICIO.LOV_MEDICO.KEY-NEXT-ITEM,ITEM,SOLICITUD_SERVICIO.LOV_MEDICO,KEY-NEXT-ITEM,0,0,0,0,0,0,0,3
TRG_ITEM:SOLICITUD_SERVICIO.LOV_MEDICO.WHEN-BUTTON-PRESSED,ITEM,SOLICITUD_SERVICIO.LOV_MEDICO,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,3
TRG_ITEM:SOLICITUD_SERVICIO.MEDICO_CODIGO.KEY-NEXT-ITEM,ITEM,SOLICITUD_SERVICIO.MEDICO_CODIGO,KEY-NEXT-ITEM,0,0,0,0,0,0,0,3
TRG_ITEM:SOLICITUD_SERVICIO.MEDICO_CODIGO.WHEN-VALIDATE-ITEM,ITEM,SOLICITUD_SERVICIO.MEDICO_CODIGO,WHEN-VALIDATE-ITEM,1,0,0,0,0,0,1,0
TRG_ITEM:SOLICITUD_SERVICIO.SUB_GRUPO_SERVICIO.KEY-NEXT-ITEM,ITEM,SOLICITUD_SERVICIO.SUB_GRUPO_SERVICIO,KEY-NEXT-ITEM,0,0,0,0,0,0,0,3
TRG_ITEM:SOLICITUD_SERVICIO.SUB_GRUPO_SERVICIO.WHEN-VALIDATE-ITEM,ITEM,SOLICITUD_SERVICIO.SUB_GRUPO_SERVICIO,WHEN-VALIDATE-ITEM,0,0,0,0,0,0,0,4
TRG_ITEM:SOLICITUD_SERVICIO.TIPO_SERVICIO.WHEN-LIST-CHANGED,ITEM,SOLICITUD_SERVICIO.TIPO_SERVICIO,WHEN-LIST-CHANGED,2,0,0,4,0,0,1,12
TRG_ITEM:SOLICITUD_SERVICIO.TIPO_SERVICIO.WHEN-NEW-ITEM-INSTANCE,ITEM,SOLICITUD_SERVICIO.TIPO_SERVICIO,WHEN-NEW-ITEM-INSTANCE,0,0,0,0,0,0,0,1
TRG_ITEM:SOLICITUD_SERVICIO.TIPO_SERVICIO.WHEN-VALIDATE-ITEM,ITEM,SOLICITUD_SERVICIO.TIPO_SERVICIO,WHEN-VALIDATE-ITEM,0,0,0,0,0,0,0,4
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_BORRAR.WHEN-BUTTON-PRESSED,ITEM,SOLICITUD_SERVICIO_DETALLE.BTN_BORRAR,WHEN-BUTTON-PRESSED,0,0,0,2,0,0,0,1
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_COBR_INDE.WHEN-BUTTON-PRESSED,ITEM,SOLICITUD_SERVICIO_DETALLE.BTN_COBR_INDE,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,2
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_DETALLE.WHEN-BUTTON-PRESSED,ITEM,SOLICITUD_SERVICIO_DETALLE.BTN_DETALLE,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,1
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_EDITAR_COB.WHEN-BUTTON-PRESSED,ITEM,SOLICITUD_SERVICIO_DETALLE.BTN_EDITAR_COB,WHEN-BUTTON-PRESSED,5,0,0,0,0,0,3,1
TRG_ITEM:SOLICITUD_SERVICIO_DETALLE.BTN_EDITAR_MON.WHEN-BUTTON-PRESSED,ITEM,SOLICITUD_SERVICIO_DETALLE.BTN_EDITAR_MON,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,2
